"","x","ID","Perfil","Altura","Lado","Painel","Quadrante","Valor"
"M0.18",0,1,19,1.25,0,3,4,0
"M1.18",10,2,19,1.25,0,3,4,142.3
"M2.18",15,3,19,1.25,0,3,4,202.7
"M3.18",20,4,19,1.25,0,3,4,334.3
"M4.18",25,5,19,1.25,0,3,4,417.7
"M5.18",30,6,19,1.25,0,3,4,611.2
"M0.19",0,1,20,1.25,0,3,5,0
"M1.19",10,2,20,1.25,0,3,5,137.4
"M2.19",15,3,20,1.25,0,3,5,254.4
"M3.19",20,4,20,1.25,0,3,5,439.4
"M4.19",25,5,20,1.25,0,3,5,465.5
"M5.19",30,6,20,1.25,0,3,5,748.8
"M0.20",0,1,21,1.25,0,3,6,0
"M1.20",10,2,21,1.25,0,3,6,104.8
"M2.20",15,3,21,1.25,0,3,6,61.6
"M3.20",20,4,21,1.25,0,3,6,239.2
"M4.20",25,5,21,1.25,0,3,6,276.5
"M5.20",30,6,21,1.25,0,3,6,388.7
"M0.21",0,1,22,0.75,0,3,7,0
"M1.21",10,2,22,0.75,0,3,7,98.6
"M2.21",15,3,22,0.75,0,3,7,116.3
"M3.21",20,4,22,0.75,0,3,7,207.4
"M4.21",25,5,22,0.75,0,3,7,188.9
"M5.21",30,6,22,0.75,0,3,7,391.6
"M0.22",0,1,23,0.75,0,3,8,0
"M1.22",10,2,23,0.75,0,3,8,118.6
"M2.22",15,3,23,0.75,0,3,8,212.2
"M3.22",20,4,23,0.75,0,3,8,331.7
"M4.22",25,5,23,0.75,0,3,8,335.6
"M5.22",30,6,23,0.75,0,3,8,522.8
"M0.23",0,1,24,0.75,0,3,9,0
"M1.23",10,2,24,0.75,0,3,9,89.2
"M2.23",15,3,24,0.75,0,3,9,142
"M3.23",20,4,24,0.75,0,3,9,198.3
"M4.23",25,5,24,0.75,0,3,9,262.9
"M5.23",30,6,24,0.75,0,3,9,391.3
"M0.24",0,1,25,1.75,1,1,1,0
"M1.24",10,2,25,1.75,1,1,1,106.1
"M2.24",15,3,25,1.75,1,1,1,119.7
"M3.24",20,4,25,1.75,1,1,1,182.5
"M4.24",25,5,25,1.75,1,1,1,264.2
"M5.24",30,6,25,1.75,1,1,1,377.9
"M0.25",0,1,26,1.75,1,1,2,0
"M1.25",10,2,26,1.75,1,1,2,111.6
"M2.25",15,3,26,1.75,1,1,2,229.5
"M3.25",20,4,26,1.75,1,1,2,381.4
"M4.25",25,5,26,1.75,1,1,2,387.5
"M5.25",30,6,26,1.75,1,1,2,485.3
"M0.26",0,1,27,1.75,1,1,3,0
"M1.26",10,2,27,1.75,1,1,3,127.7
"M2.26",15,3,27,1.75,1,1,3,248.9
"M3.26",20,4,27,1.75,1,1,3,311.7
"M4.26",25,5,27,1.75,1,1,3,427.4
"M5.26",30,6,27,1.75,1,1,3,696.6
"M0.27",0,1,28,1.25,1,1,4,0
"M1.27",10,2,28,1.25,1,1,4,85.4
"M2.27",15,3,28,1.25,1,1,4,148.7
"M3.27",20,4,28,1.25,1,1,4,149.1
"M4.27",25,5,28,1.25,1,1,4,310.3
"M5.27",30,6,28,1.25,1,1,4,307.9
"M0.28",0,1,29,1.25,1,1,5,0
"M1.28",10,2,29,1.25,1,1,5,94.4
"M2.28",15,3,29,1.25,1,1,5,141.7
"M3.28",20,4,29,1.25,1,1,5,185
"M4.28",25,5,29,1.25,1,1,5,175.6
"M5.28",30,6,29,1.25,1,1,5,343.6
"M0.29",0,1,30,1.25,1,1,6,0
"M1.29",10,2,30,1.25,1,1,6,58.4
"M2.29",15,3,30,1.25,1,1,6,125.9
"M3.29",20,4,30,1.25,1,1,6,166.1
"M4.29",25,5,30,1.25,1,1,6,194.8
"M5.29",30,6,30,1.25,1,1,6,260.8
"M0.30",0,1,31,0.75,1,1,7,0
"M1.30",10,2,31,0.75,1,1,7,78.4
"M2.30",15,3,31,0.75,1,1,7,124.1
"M3.30",20,4,31,0.75,1,1,7,155
"M4.30",25,5,31,0.75,1,1,7,162.8
"M5.30",30,6,31,0.75,1,1,7,201.3
"M0.31",0,1,32,0.75,1,1,8,0
"M1.31",10,2,32,0.75,1,1,8,84.8
"M2.31",15,3,32,0.75,1,1,8,113.6
"M3.31",20,4,32,0.75,1,1,8,140.9
"M4.31",25,5,32,0.75,1,1,8,193.6
"M5.31",30,6,32,0.75,1,1,8,241.1
"M0.32",0,1,33,0.75,1,1,9,0
"M1.32",10,2,33,0.75,1,1,9,71.9
"M2.32",15,3,33,0.75,1,1,9,103.8
"M3.32",20,4,33,0.75,1,1,9,167.3
"M4.32",25,5,33,0.75,1,1,9,172.8
"M5.32",30,6,33,0.75,1,1,9,305.8
"M0.33",0,1,34,1.75,1,2,1,0
"M1.33",10,2,34,1.75,1,2,1,89.3
"M2.33",15,3,34,1.75,1,2,1,172.5
"M3.33",20,4,34,1.75,1,2,1,193.2
"M4.33",25,5,34,1.75,1,2,1,271.1
"M5.33",30,6,34,1.75,1,2,1,323.2
"M0.34",0,1,35,1.25,1,2,2,0
"M1.34",10,2,35,1.25,1,2,2,85.3
"M2.34",15,3,35,1.25,1,2,2,116.4
"M3.34",20,4,35,1.25,1,2,2,171.4
"M4.34",25,5,35,1.25,1,2,2,176.4
"M5.34",30,6,35,1.25,1,2,2,200.4
"M0.35",0,1,36,0.75,1,2,3,0
"M1.35",10,2,36,0.75,1,2,3,88.9
"M2.35",15,3,36,0.75,1,2,3,157.6
"M3.35",20,4,36,0.75,1,2,3,268.3
"M4.35",25,5,36,0.75,1,2,3,272.7
"M5.35",30,6,36,0.75,1,2,3,302.3
"M0.36",0,1,37,1.75,1,3,1,0
"M1.36",10,2,37,1.75,1,3,1,113.2
"M2.36",15,3,37,1.75,1,3,1,238.1
"M3.36",20,4,37,1.75,1,3,1,527.1
"M4.36",25,5,37,1.75,1,3,1,440.3
"M5.36",30,6,37,1.75,1,3,1,NA
"M0.37",0,1,38,1.25,1,3,2,0
"M1.37",10,2,38,1.25,1,3,2,90.1
"M2.37",15,3,38,1.25,1,3,2,128.9
"M3.37",20,4,38,1.25,1,3,2,216.3
"M4.37",25,5,38,1.25,1,3,2,224.5
"M5.37",30,6,38,1.25,1,3,2,343.5
"M0.38",0,1,39,0.75,1,3,3,0
"M1.38",10,2,39,0.75,1,3,3,84.7
"M2.38",15,3,39,0.75,1,3,3,111.1
"M3.38",20,4,39,0.75,1,3,3,141.9
"M4.38",25,5,39,0.75,1,3,3,170.3
"M5.38",30,6,39,0.75,1,3,3,281.4
